                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69929,                    0.5,                      1,                0.73242,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                0.67921,                    0.5,                      1,                  0.729,             3.5347e-05,             3.5347e-05,             3.5347e-05
                      3,                0.64735,                    0.5,                      1,                 0.7207,             5.5989e-05,             5.5989e-05,             5.5989e-05
                      4,                0.59594,                    0.5,                      1,                0.70264,             7.6207e-05,             7.6207e-05,             7.6207e-05
                      5,                 0.5534,                0.53333,                      1,                0.67188,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      6,                0.47426,                0.56667,                      1,                0.62891,             0.00011537,             0.00011537,             0.00011537
                      7,                0.41343,                0.76667,                      1,                0.56787,             0.00013432,             0.00013432,             0.00013432
                      8,                0.33421,                0.86667,                      1,                 0.5083,             0.00015284,             0.00015284,             0.00015284
                      9,                0.26302,                    0.9,                      1,                0.45508,             0.00017094,             0.00017094,             0.00017094
                     10,                0.21116,                0.93333,                      1,                0.41016,             0.00018861,             0.00018861,             0.00018861
                     11,                0.15423,                0.93333,                      1,                0.37769,             0.00020586,             0.00020586,             0.00020586
                     12,                0.11121,                0.96667,                      1,                  0.354,             0.00022269,             0.00022269,             0.00022269
                     13,                0.09168,                0.96667,                      1,                0.34204,             0.00023909,             0.00023909,             0.00023909
                     14,                0.05658,                0.96667,                      1,                0.33691,             0.00025506,             0.00025506,             0.00025506
                     15,                0.07338,                      1,                      1,                0.32422,             0.00027062,             0.00027062,             0.00027062
                     16,                0.03634,                      1,                      1,                0.32715,             0.00028575,             0.00028575,             0.00028575
                     17,                0.03225,                      1,                      1,                0.32227,             0.00030045,             0.00030045,             0.00030045
                     18,                0.03913,                      1,                      1,                0.31689,             0.00031473,             0.00031473,             0.00031473
                     19,                0.01219,                      1,                      1,                0.31494,             0.00032859,             0.00032859,             0.00032859
                     20,                0.01422,                      1,                      1,                0.31445,             0.00034202,             0.00034202,             0.00034202
                     21,                0.00679,                      1,                      1,                0.31445,             0.00035503,             0.00035503,             0.00035503
                     22,                0.00675,                      1,                      1,                0.31445,             0.00036761,             0.00036761,             0.00036761
                     23,                0.00611,                      1,                      1,                0.31396,             0.00037977,             0.00037977,             0.00037977
                     24,                0.00386,                      1,                      1,                0.31372,             0.00039151,             0.00039151,             0.00039151
                     25,                0.00402,                      1,                      1,                0.31396,             0.00040282,             0.00040282,             0.00040282
                     26,                0.00376,                      1,                      1,                0.31396,             0.00041371,             0.00041371,             0.00041371
                     27,                0.01026,                      1,                      1,                0.31372,             0.00042417,             0.00042417,             0.00042417
                     28,                0.00758,                      1,                      1,                0.31348,             0.00043421,             0.00043421,             0.00043421
                     29,                 0.0047,                      1,                      1,                0.31348,             0.00044383,             0.00044383,             0.00044383
                     30,                0.00913,                      1,                      1,                0.31348,             0.00045302,             0.00045302,             0.00045302
                     31,                0.00348,                      1,                      1,                0.31372,             0.00046179,             0.00046179,             0.00046179
                     32,                0.04018,                      1,                      1,                0.31348,             0.00047013,             0.00047013,             0.00047013
                     33,                0.00686,                      1,                      1,                0.31348,             0.00047805,             0.00047805,             0.00047805
                     34,                0.01367,                      1,                      1,                0.31396,             0.00048074,             0.00048074,             0.00048074
